nome,squadra1516,pg1516,mv1516,mf1516,gf1516,gs1516,rp1516,rc1516,rplus1516,rminus1516,ass1516,asf1516,amm1516,esp1516,au1516,squadra1617,pg1617,mv1617,mf1617,gf1617,gs1617,rp1617,rc1617,rplus1617,rminus1617,ass1617,asf1617,amm1617,esp1617,au1617,squadra1718,pg1718,mv1718,mf1718,gf1718,gs1718,rp1718,rc1718,rplus1718,rminus1718,ass1718,asf1718,amm1718,esp1718,au1718,squadra1819,pg1819,mv1819,mf1819,gf1819,gs1819,rp1819,rc1819,rplus1819,rminus1819,ass1819,asf1819,amm1819,esp1819,au1819
GAGLIARDINI,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0,0,Inter,28,6.09,6.3,2,0,0,0,0,0,3,0,7,0,0,Inter,28,5.75,5.61,0,0,0,0,0,0,0,0,8,0,0,Inter,15,6.1,6.97,5,0,0,0,0,0,0,0,4,0,0
DA COSTA,Bologna,5,5.9,5,0,4,0,0,0,0,0,0,1,0,0,Bologna,18,6.17,4.69,0,26,0,0,0,0,0,0,1,0,0,Bologna,4,6.38,5.12,0,5,0,0,0,0,0,0,0,0,0,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTE,Bologna,33,6.36,5.18,0,41,1,0,0,0,0,0,2,0,0,Bologna,21,6.17,4.79,0,32,1,0,0,0,0,0,0,0,0,Bologna,33,6.2,4.67,0,46,0,0,0,0,0,0,5,0,1,Roma,11,6.55,6.27,0,6,1,0,0,0,0,0,0,0,0
FERRARI A,Bologna,18,5.67,5.5,0,0,0,0,0,0,0,0,6,0,0,Bologna,1,5,5,0,0,0,0,0,0,0,0,0,0,0,Verona,25,5.46,5.48,1,0,0,0,0,0,0,0,5,0,0,Sampdoria,6,5.67,5.5,0,0,0,0,0,0,0,0,2,0,0
MAIETTA,Bologna,19,6.05,5.95,0,0,0,0,0,0,0,0,4,0,0,Bologna,29,5.81,5.71,0,0,0,0,0,0,1,0,8,0,0,Bologna,7,6.29,6.21,0,0,0,0,0,0,0,0,1,0,0,Empoli,21,5.62,5.5,0,0,0,0,0,0,0,0,5,0,0
MBAYE,Bologna,15,5.53,5.37,0,0,0,0,0,0,0,0,3,1,0,Bologna,14,5.68,5.32,0,0,0,0,0,0,1,0,4,0,2,Bologna,24,5.79,5.73,1,0,0,0,0,0,0,0,3,1,1,Bologna,23,5.8,5.96,2,0,0,0,0,0,0,0,5,0,0
ROSSETTINI,Bologna,29,5.74,6,3,0,0,0,0,0,1,0,5,0,0,Torino,30,5.82,5.78,1,0,0,0,0,0,0,0,8,0,0,Genoa,23,5.87,5.72,0,0,0,0,0,0,0,0,7,0,0,Chievo,21,5.55,5.43,0,0,0,0,0,0,0,0,5,0,0
CRISETIG,Bologna,5,5.4,5.3,0,0,0,0,0,0,0,0,1,0,0,Crotone,30,5.72,5.53,0,0,0,0,0,0,0,1,11,1,0,Bologna,8,5.75,5.5,0,0,0,0,0,0,0,0,4,0,0,Frosinone,7,5.5,5.29,0,0,0,0,0,0,0,0,3,0,0
DIAWARA,Bologna,33,6.02,5.85,0,0,0,0,0,0,1,0,9,2,0,Napoli,17,6.15,6.12,0,0,0,0,0,0,0,0,1,0,0,Napoli,14,6.11,6.39,1,0,0,0,0,0,1,0,1,0,0,Napoli,11,5.82,5.64,0,0,0,0,0,0,0,0,4,0,0
RIZZO,Bologna,22,5.91,5.91,0,0,0,0,0,0,2,0,2,1,0,Bologna,10,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,Atalanta,10,6.1,6.7,2,0,0,0,0,0,0,0,0,0,0,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESTRO,Bologna,26,6.02,6.65,6,0,0,3,2,1,0,0,9,0,0,Bologna,30,5.75,6.68,11,0,0,1,0,1,0,0,4,0,0,Bologna,25,5.8,6.54,6,0,0,0,0,0,2,0,3,0,0,Bologna,9,6.28,7.56,4,0,0,0,0,0,1,0,3,0,0
FLOCCARI,Bologna,24,6,6.73,6,0,0,0,0,0,0,0,1,0,0,Bologna,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0,0,SPAL,16,5.94,6.5,3,0,0,0,0,0,0,0,0,0,0,SPAL,15,6.07,6.67,3,0,0,0,0,0,1,0,3,0,0
PULGAR,Bologna,12,5.67,5.58,0,0,0,0,0,0,0,0,2,0,0,Bologna,24,5.56,5.5,1,0,0,0,0,0,0,0,5,2,0,Bologna,32,5.88,5.95,3,0,0,1,0,1,1,0,9,0,0,Bologna,28,5.96,6.46,1,0,0,5,5,0,0,2,6,1,1
KRAFTH,Bologna,2,6,6,0,0,0,0,0,0,0,0,0,0,0,Bologna,25,5.62,5.52,0,0,0,0,0,0,0,0,1,2,0,Bologna,12,5.46,5.38,0,0,0,0,0,0,0,0,2,0,0,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONSAH,Bologna,19,6.08,6.45,2,0,0,0,0,0,2,0,2,0,0,Bologna,13,5.96,6.04,0,0,0,0,0,0,2,0,2,0,0,Bologna,25,6.04,6.26,2,0,0,0,0,0,1,0,3,0,0,Bologna,4,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
GIACCHERINI,Bologna,28,6.32,6.95,7,0,0,0,0,0,0,0,7,0,0,Napoli,8,6.06,6.44,1,0,0,0,0,0,0,0,0,0,0,Chievo,16,6.06,6.5,3,0,0,0,0,0,1,0,6,0,0,Chievo,26,5.83,5.87,2,0,0,2,1,1,1,0,8,0,1
VERDI,Carpi,6,6.33,7.75,1,0,0,2,2,0,0,0,1,0,0,Bologna,27,6.24,6.94,6,0,0,0,0,0,3,0,4,0,0,Bologna,33,6.3,7.45,8,0,0,2,2,0,5,4,2,0,0,Napoli,18,5.86,6.53,2,0,0,1,1,0,3,0,0,0,0
SPOLLI,Chievo,14,5.79,5.54,0,0,0,0,0,0,0,0,5,1,0,Chievo,20,5.82,5.62,0,0,0,0,0,0,0,0,8,0,0,Genoa,21,6.17,6,0,0,0,0,0,0,0,0,7,0,0,Genoa,7,5.43,5,0,0,0,0,0,0,0,0,2,0,1
CACCIATORE,Chievo,28,5.89,6,1,0,0,0,0,0,3,0,6,0,0,Chievo,29,5.84,5.83,1,0,0,0,0,0,1,0,7,1,0,Chievo,33,5.76,5.92,2,0,0,0,0,0,3,0,5,1,0,Cagliari,14,5.86,5.89,0,0,0,0,0,0,2,0,3,0,0
CESAR,Chievo,31,5.97,5.89,1,0,0,0,0,0,0,0,9,1,0,Chievo,16,5.44,5.34,1,0,0,0,0,0,0,0,8,1,0,Chievo,9,5.5,5,0,0,0,0,0,0,0,0,1,0,2,Chievo,13,5.42,5.54,1,0,0,0,0,0,0,0,3,0,0
FREY,Chievo,18,5.53,5.33,0,0,0,0,0,0,0,0,3,0,1,Chievo,15,5.67,5.6,0,0,0,0,0,0,0,0,2,0,0,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chievo,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
GOBBI,Chievo,34,5.96,5.88,0,0,0,0,0,0,1,0,7,0,0,Chievo,30,5.72,5.8,1,0,0,0,0,0,2,0,5,0,0,Chievo,24,5.67,5.69,0,0,0,0,0,0,1,1,3,0,0,Parma,15,5.43,5.4,0,0,0,0,0,0,1,0,3,0,0
MATTIELLO,Chievo,1,5.5,6.5,0,0,0,0,0,0,1,0,0,0,0,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPAL,26,5.73,5.58,0,0,0,0,0,0,0,0,6,1,0,Bologna,16,5.72,5.84,1,0,0,0,0,0,1,0,2,1,0
BIRSA,Chievo,35,6.14,6.71,4,0,0,3,2,1,3,4,4,0,0,Chievo,35,6.07,6.77,7,0,0,1,0,1,4,5,5,0,0,Chievo,34,5.99,6.41,3,0,0,0,0,0,2,5,3,0,0,Cagliari,26,5.88,6.17,1,0,0,1,1,0,1,1,1,0,0
CASTRO,Chievo,33,6.08,6.21,3,0,0,0,0,0,0,0,9,0,0,Chievo,33,6.14,6.61,5,0,0,0,0,0,4,0,5,1,0,Chievo,25,6.04,6.46,3,0,0,0,0,0,3,0,3,0,0,Cagliari,12,6.12,6.58,1,0,0,0,0,0,3,0,1,0,0
HETEMAJ,Chievo,27,6.11,6.09,1,0,0,0,0,0,0,0,7,0,0,Chievo,23,5.72,5.59,0,0,0,0,0,0,0,0,6,0,0,Chievo,32,5.97,6.11,3,0,0,0,0,0,2,0,9,0,1,Chievo,28,5.7,5.75,2,0,0,0,0,0,0,0,9,0,0
RADOVANOVIC,Chievo,25,5.86,5.72,0,0,0,0,0,0,0,0,8,0,0,Chievo,33,5.74,5.59,0,0,0,0,0,0,0,0,10,0,0,Chievo,35,5.83,5.83,1,0,0,0,0,0,1,0,6,1,0,Genoa,35,5.66,5.53,0,0,0,0,0,0,0,0,9,0,0
RIGONI N,Chievo,24,6.02,6.25,3,0,0,0,0,0,0,0,7,0,0,Chievo,9,5.94,6.17,1,0,0,0,0,0,0,0,2,0,0,Chievo,14,5.46,5.39,0,0,0,0,0,0,0,0,3,0,0,Chievo,24,5.54,5.38,0,0,0,0,0,0,1,0,8,1,0
INGLESE,Chievo,23,5.87,6.24,3,0,0,0,0,0,1,0,3,0,0,Chievo,31,5.95,6.95,10,0,0,1,0,1,4,0,0,0,0,Chievo,33,5.91,6.89,11,0,0,2,1,1,1,0,3,0,0,Parma,25,6.14,7.24,7,0,0,2,2,0,2,0,3,0,0
MEGGIORINI,Chievo,26,6.27,6.85,5,0,0,0,0,0,5,0,8,1,0,Chievo,27,5.87,6.09,3,0,0,0,0,0,0,0,6,0,0,Chievo,14,5.5,5.43,0,0,0,0,0,0,0,0,2,0,0,Chievo,24,5.54,5.79,2,0,0,1,1,0,0,0,6,0,0
PALOSCHI,Chievo,21,6.1,6.98,7,0,0,3,1,2,1,0,1,0,0,Atalanta,8,5.44,5.06,0,0,0,1,0,1,0,0,0,0,0,SPAL,33,5.68,6.32,7,0,0,0,0,0,1,0,2,0,0,SPAL,17,5.74,6,2,0,0,0,0,0,0,0,3,0,0
PELLISSIER,Chievo,18,5.94,6.72,3,0,0,2,2,0,0,0,2,0,0,Chievo,28,5.96,6.98,6,0,0,3,3,0,2,0,1,0,0,Chievo,15,5.8,6.03,1,0,0,0,0,0,1,0,1,0,0,Chievo,14,6.18,6.86,3,0,0,2,1,1,1,0,1,0,0
BIRAGHI,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pescara,35,5.56,5.51,0,0,0,2,1,1,4,0,11,0,0,Fiorentina,34,5.72,5.82,1,0,0,0,0,0,3,1,7,0,0,Fiorentina,36,5.89,6,1,0,0,0,0,0,5,0,8,0,0
COSTA F,Chievo,3,6,6,0,0,0,0,0,0,0,0,0,0,0,Chievo,1,5,5,0,0,0,0,0,0,0,0,0,0,0,SPAL,22,5.89,5.84,0,0,0,0,0,0,1,0,4,0,0,SPAL,8,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
SKORUPSKI,Empoli,31,6.21,4.79,0,43,0,0,0,0,0,0,2,0,0,Empoli,35,6.34,5,0,56,4,0,0,0,0,0,2,0,1,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,Bologna,38,6.11,4.62,0,56,0,0,0,0,0,0,1,0,0
LAURINI,Empoli,24,5.92,5.94,1,0,0,0,0,0,0,0,5,0,0,Empoli,24,5.52,5.44,0,0,0,0,0,0,0,0,2,1,0,Fiorentina,21,5.81,5.74,0,0,0,0,0,0,1,0,5,0,0,Fiorentina,13,5.81,5.65,0,0,0,0,0,0,0,0,4,0,0
MARIO RUI,Empoli,36,5.96,5.88,0,0,0,0,0,0,0,1,6,1,0,Roma,4,5.62,5.5,0,0,0,0,0,0,0,0,1,0,0,Napoli,24,6.02,6.23,2,0,0,0,0,0,2,2,8,1,0,Napoli,19,5.82,5.87,1,0,0,0,0,0,1,0,4,1,0
TONELLI,Empoli,26,5.85,5.88,2,0,0,0,0,0,0,0,8,1,0,Napoli,3,6.5,8.17,2,0,0,0,0,0,0,0,2,0,0,Napoli,4,5.38,6.12,1,0,0,0,0,0,0,0,0,0,0,Sampdoria,19,5.84,5.74,1,0,0,0,0,0,0,0,6,0,1
SAPONARA,Empoli,33,6.23,6.74,5,0,0,1,0,1,9,0,6,1,0,Fiorentina,27,5.81,6.28,4,0,0,0,0,0,3,0,5,0,0,Fiorentina,16,6.03,6.19,0,0,0,0,0,0,3,1,3,0,0,Sampdoria,21,6.12,6.52,2,0,0,0,0,0,4,0,3,0,0
ZIELINSKI,Empoli,35,6.24,6.69,5,0,0,0,0,0,3,1,5,1,0,Napoli,34,6.34,6.9,5,0,0,0,0,0,6,0,4,0,0,Napoli,36,6.12,6.44,4,0,0,0,0,0,1,0,3,0,0,Napoli,36,6.15,6.62,6,0,0,0,0,0,2,0,6,0,0
PUCCIARELLI,Empoli,38,5.92,6.42,6,0,0,0,0,0,2,0,2,0,0,Empoli,32,5.55,5.73,2,0,0,2,1,1,1,0,2,0,0,Chievo,19,5.55,5.82,2,0,0,0,0,0,0,0,3,0,0,Chievo,8,5.38,5.31,0,0,0,0,0,0,0,0,1,0,0
SEPE,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Napoli,1,6,6,0,0,0,0,0,0,0,0,0,0,0,Parma,37,6.09,4.43,0,59,0,0,0,0,0,0,1,0,1
TOMOVIC,Fiorentina,20,5.68,5.55,0,0,0,0,0,0,0,0,5,0,0,Fiorentina,25,5.54,5.34,0,0,0,0,0,0,1,0,12,0,0,Chievo,29,5.72,5.57,0,0,0,0,0,0,0,0,5,0,1,Chievo,10,5.6,5.85,1,0,0,0,0,0,0,0,1,0,0
BADELJ,Fiorentina,27,6,5.98,1,0,0,0,0,0,1,0,7,1,0,Fiorentina,32,5.97,6.08,2,0,0,0,0,0,2,0,9,0,0,Fiorentina,27,5.96,6,2,0,0,0,0,0,0,0,8,1,0,Lazio,22,5.82,5.73,1,0,0,0,0,0,0,0,6,0,1
BORJA VALERO,Fiorentina,37,6.42,6.84,4,0,0,0,0,0,5,1,5,0,0,Fiorentina,32,6.06,6.3,1,0,0,0,0,0,4,3,5,0,0,Inter,33,5.92,6.06,2,0,0,0,0,0,0,0,3,0,0,Inter,23,5.91,5.85,0,0,0,0,0,0,0,0,4,0,0
CAPEZZI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crotone,21,5.79,5.62,0,0,0,0,0,0,0,0,5,1,0,Sampdoria,3,6,6.33,0,0,0,0,0,0,1,0,0,0,0,Empoli,10,5.65,5.3,0,0,0,0,0,0,0,0,3,0,1
ILICIC,Fiorentina,27,6.3,7.85,6,0,0,7,7,0,4,0,2,0,0,Fiorentina,29,6.03,6.38,4,0,0,3,1,2,0,2,2,0,0,Atalanta,31,6.47,7.74,9,0,0,2,2,0,8,0,3,0,0,Atalanta,31,6.39,7.55,12,0,0,1,0,1,4,2,4,1,0
VECINO,Fiorentina,29,5.98,6.09,2,0,0,0,0,0,1,0,8,0,0,Fiorentina,29,6.02,6.34,3,0,0,0,0,0,4,0,7,0,0,Inter,28,5.93,6.16,3,0,0,0,0,0,2,0,7,1,0,Inter,27,5.85,6.07,3,0,0,0,0,0,1,0,8,0,0
BABACAR,Fiorentina,14,6.07,7.18,4,0,0,1,1,0,1,0,2,0,0,Fiorentina,20,6.02,7.58,9,0,0,1,1,0,1,0,0,0,0,Sassuolo,28,5.91,6.61,3,0,0,3,3,0,2,0,1,0,0,Sassuolo,26,5.87,6.75,5,0,0,2,2,0,2,0,0,0,0
BERNARDESCHI,Fiorentina,33,6.12,6.3,2,0,0,0,0,0,3,0,6,0,0,Fiorentina,32,6.05,6.94,8,0,0,4,3,1,2,0,5,1,0,Juventus,16,6.34,7.34,4,0,0,0,0,0,5,0,4,0,0,Juventus,25,6.04,6.26,2,0,0,0,0,0,1,2,5,1,0
KALINIC,Fiorentina,35,6.07,7,12,0,0,1,0,1,2,0,5,0,0,Fiorentina,32,6.08,7.31,14,0,0,2,1,1,1,0,5,1,0,Milan,30,5.7,6.35,6,0,0,0,0,0,3,0,3,0,0,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERIN,Genoa,25,6.36,5.24,0,30,1,0,0,0,0,0,2,0,0,Genoa,16,6.16,5.06,0,19,1,0,0,0,0,0,1,1,0,Genoa,37,6.27,5.12,0,42,0,0,0,0,0,0,1,0,0,Juventus,9,5.89,4.94,0,8,0,0,0,0,0,0,1,0,0
DE MAIO,Genoa,27,5.76,5.67,1,0,0,0,0,0,0,0,5,1,1,Fiorentina,6,5.33,5.25,0,0,0,0,0,0,0,0,1,0,0,Bologna,25,5.8,5.82,2,0,0,0,0,0,0,0,7,0,1,Udinese,22,5.86,5.89,1,0,0,0,0,0,0,0,3,1,0
IZZO,Genoa,32,5.95,5.8,0,0,0,0,0,0,0,0,6,2,0,Genoa,29,5.88,5.72,0,0,0,0,0,0,2,0,5,0,2,Genoa,16,5.94,6.06,1,0,0,0,0,0,0,0,2,0,0,Torino,37,6.23,6.5,4,0,0,0,0,0,1,0,6,0,0
LAXALT,Genoa,35,6.04,6.34,3,0,0,0,0,0,2,1,3,0,0,Genoa,36,5.99,6.08,1,0,0,0,0,0,3,0,5,0,0,Genoa,32,5.98,6.3,3,0,0,0,0,0,2,0,2,0,0,Milan,13,5.77,5.69,0,0,0,0,0,0,0,0,2,0,0
LAZOVIC,Genoa,14,5.79,5.93,0,0,0,0,0,0,2,0,0,0,0,Genoa,33,6.05,6.27,2,0,0,0,0,0,4,0,3,1,0,Genoa,19,5.97,5.97,0,0,0,0,0,0,1,0,2,0,0,Genoa,33,5.95,6.32,3,0,0,0,0,0,3,1,2,0,0
RINCON,Genoa,33,6.24,6.5,3,0,0,0,0,0,4,0,9,0,0,Juventus,22,5.91,5.91,0,0,0,0,0,0,2,0,4,0,0,Torino,36,5.9,5.82,1,0,0,0,0,0,0,0,12,0,0,Torino,33,6.12,6.17,3,0,0,0,0,0,0,0,15,0,0
PANDEV,Genoa,14,5.57,5.5,0,0,0,0,0,0,0,0,0,1,0,Genoa,16,5.84,6.31,3,0,0,0,0,0,0,0,1,1,0,Genoa,31,6,6.42,5,0,0,0,0,0,1,0,4,1,0,Genoa,21,6.05,6.6,4,0,0,0,0,0,2,0,6,0,0
PAVOLETTI,Genoa,25,6.16,7.82,14,0,0,0,0,0,2,0,3,1,0,Napoli,13,5.77,6.38,3,0,0,0,0,0,0,0,2,0,0,Cagliari,33,5.91,6.79,11,0,0,0,0,0,0,0,8,0,0,Cagliari,32,6.09,7.53,16,0,0,0,0,0,1,0,6,0,0
SUSO,Genoa,20,6.22,7.08,6,0,0,0,0,0,0,1,4,0,0,Milan,34,6.32,6.96,7,0,0,1,0,1,6,0,5,0,0,Milan,35,6.19,6.84,6,0,0,0,0,0,7,0,2,1,0,Milan,35,6.16,6.87,7,0,0,0,0,0,9,0,8,1,0
RIGONI L,Genoa,27,5.98,6.31,4,0,0,0,0,0,0,0,4,1,0,Genoa,31,5.85,5.97,3,0,0,0,0,0,1,0,13,0,0,Genoa,22,5.89,6.14,2,0,0,0,0,0,2,0,5,0,0,Parma,22,5.66,5.82,2,0,0,0,0,0,0,0,5,0,0
ANSALDI,Genoa,24,6.02,6.1,0,0,0,0,0,0,4,0,4,0,0,Inter,21,5.71,5.52,0,0,0,0,0,0,1,0,8,1,0,Torino,25,6.14,6.24,1,0,0,0,0,0,3,0,5,1,0,Torino,24,6.38,6.77,3,0,0,0,0,0,2,0,3,0,0
DZEMAILI,Genoa,26,5.94,6.17,3,0,0,0,0,0,1,0,6,1,0,Bologna,31,6.05,6.69,8,0,0,0,0,0,2,0,10,1,0,Bologna,15,5.9,5.97,1,0,0,0,0,0,0,0,4,0,0,Bologna,27,5.8,5.87,1,0,0,0,0,0,1,0,4,0,0
HANDANOVIC,Inter,36,6.32,5.39,0,34,1,0,0,0,0,0,5,0,0,Inter,37,6.32,5.03,0,47,1,0,0,0,0,0,4,0,1,Inter,38,6.29,5.45,0,30,0,0,0,0,0,0,0,0,1,Inter,38,6.18,5.32,0,33,0,0,0,0,0,0,0,0,0
ANDREOLLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inter,4,6.12,6.88,1,0,0,0,0,0,0,0,0,0,0,Cagliari,22,5.68,5.57,0,0,0,0,0,0,0,0,5,0,0,Chievo,10,5.4,5.25,0,0,0,0,0,0,0,0,3,0,0
D'AMBROSIO,Inter,18,5.94,6.14,2,0,0,0,0,0,0,0,3,1,0,Inter,32,5.83,6.11,3,0,0,0,0,0,2,0,4,0,0,Inter,34,5.93,6.1,2,0,0,0,0,0,3,0,6,0,0,Inter,29,5.95,6.19,2,0,0,0,0,0,4,0,6,0,0
JUAN JESUS,Inter,17,5.74,5.65,0,0,0,0,0,0,0,0,3,0,0,Roma,17,5.79,5.65,0,0,0,0,0,0,0,0,5,0,0,Roma,20,5.72,5.58,0,0,0,0,0,0,0,0,4,1,0,Roma,18,5.78,5.72,1,0,0,0,0,0,0,0,4,0,1
MIRANDA,Inter,32,6.16,6.16,1,0,0,0,0,0,2,0,6,2,0,Inter,32,5.88,5.78,0,0,0,0,0,0,0,0,6,0,0,Inter,31,6.03,5.9,0,0,0,0,0,0,0,0,8,0,0,Inter,14,5.82,5.71,0,0,0,0,0,0,0,0,3,0,0
SANTON,Inter,11,5.73,5.68,0,0,0,0,0,0,0,0,1,0,0,Inter,12,5.58,5.62,0,0,0,0,0,0,1,0,1,0,0,Inter,13,5.54,5.46,0,0,0,0,0,0,0,0,2,0,0,Roma,13,5.69,5.77,0,0,0,0,0,0,1,0,0,0,0
BESSA,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genoa,25,5.82,6.16,3,0,0,0,0,0,2,0,5,0,0,Genoa,32,5.84,5.88,1,0,0,0,0,0,1,1,8,0,0
BROZOVIC,Inter,30,6.02,6.43,4,0,0,0,0,0,3,1,7,0,0,Inter,23,5.98,6.39,4,0,0,0,0,0,1,0,7,0,0,Inter,28,6.21,6.8,4,0,0,0,0,0,5,4,9,0,0,Inter,32,5.91,5.94,2,0,0,0,0,0,0,1,10,1,0
BIABIANY,Inter,17,6.09,6.29,1,0,0,0,0,0,2,0,3,0,0,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parma,17,5.62,5.5,0,0,0,0,0,0,0,0,4,0,0
ICARDI,Inter,31,6.13,7.69,15,0,0,2,1,1,4,0,1,0,0,Inter,34,6.19,8.26,21,0,0,4,3,1,4,0,1,0,1,Inter,34,6.35,8.82,23,0,0,7,6,1,1,0,2,0,0,Inter,29,5.88,7.05,6,0,0,6,5,1,4,0,0,0,0
PALACIO,Inter,20,6.18,6.55,2,0,0,0,0,0,4,0,5,0,0,Inter,11,5.86,6,0,0,0,0,0,0,2,0,1,0,0,Bologna,27,6.11,6.46,4,0,0,0,0,0,2,0,9,0,0,Bologna,28,6.3,6.73,3,0,0,0,0,0,6,0,6,0,0
LJAJIC,Inter,20,6.02,6.58,3,0,0,0,0,0,3,0,2,0,0,Torino,33,6.11,7,9,0,0,2,1,1,1,4,5,0,0,Torino,27,6.33,7.3,6,0,0,0,0,0,4,5,2,0,0,Torino,1,6,6,0,0,0,0,0,0,0,0,0,0,0
PERISIC,Inter,33,6.08,6.79,7,0,0,0,0,0,5,0,5,0,0,Inter,36,6.12,7.18,11,0,0,0,0,0,7,0,2,1,0,Inter,37,6.05,7.08,11,0,0,0,0,0,8,1,4,0,1,Inter,34,6.03,6.72,6,0,0,2,2,0,3,1,5,0,1
